folder,prefix,frames,first,last,missing_count,missing_sample
Assets/Arts/MatDoor,二灯,9,1,11,2,"6,7"
Assets/Arts/MatDoor,一灯,9,1,11,2,"6,7"
Assets/Arts/MatDoor,三灯,9,1,11,2,"6,7"
Assets/Arts/Checkpoint,CP_bloom,6,1,6,0,
Assets/Arts/PlayerArt/Grab,anim_pl_grab,6,1,6,0,
Assets/Arts/PlayerArt/Hang,anim_pl_hang,6,1,6,0,
Assets/Arts/PlayerArt/Grab2,anim_pl_grab,6,1,6,0,
Assets/Arts/MatCollection,collection,5,1,5,0,
Assets/Arts/PlayerArt/Whistle,anim_pl_whistle2idle,4,1,4,0,
Assets/Arts/BeeArt,anim_bee_slowidle,4,1,4,0,
Assets/Arts/Checkpoint,CP_IDLE_A,3,1,3,0,
Assets/Arts/Checkpoint,CP_IDLE_C,3,1,3,0,
Assets/Arts/Checkpoint,CP_IDLE_B,3,1,3,0,
Assets/Arts/PlayerArt/Slide,anim_pl_grabfall,3,1,3,0,
Assets/Arts/PlayerArt/Whistle,anim_pl_whistleH,3,1,3,0,
Assets/Arts/PlayerArt/Throw,anim_pl_throwback_loop,3,1,3,0,
Assets/Arts/PlayerArt/Hang,anim_pl_fall2hang,3,1,3,0,
Assets/Arts/PlayerArt/Hang,anim_pl_slide,3,1,3,0,
Assets/Arts/PlayerArt/Fall,anim_pl_fall2idle,3,1,3,0,
Assets/Arts/PlayerArt/Dash,anim_pl_dashing,3,1,3,0,
Assets/Arts/BeeArt,anim_bee_fastidle,3,1,3,0,
Assets/Arts/BeeArt,anim_bee_fly,3,1,3,0,
Assets/Arts/PlayerArt/Throw,anim_pl_throw_begin,2,1,2,0,
Assets/Arts/PlayerArt/Fall,anim_pl_fall2walk,2,1,2,0,
Assets/Arts/PlayerArt/Dash,anim_pl_throw2dash,2,1,2,0,
Assets/Arts/BeeArt,anim_bee_rope,2,1,2,0,
