path,name,reasons
Assets/UniversalRenderPipelineGlobalSettings.asset,UniversalRenderPipelineGlobalSettings,not snake_case-ish
Assets/Settings/BuildProfiles/Mac-Release.asset,Mac-Release,not snake_case-ish
Assets/Settings/BuildProfiles/Mac-Debug.asset,Mac-Debug,not snake_case-ish
Assets/Settings/BuildProfiles/Windows-Debug.asset,Windows-Debug,not snake_case-ish
Assets/Settings/BuildProfiles/Web-Release.asset,Web-Release,not snake_case-ish
Assets/Settings/BuildProfiles/Windows-Release.asset,Windows-Release,not snake_case-ish
Assets/Settings/PickFilter/不点击tilemap.asset,不点击tilemap,contains CJK; not snake_case-ish
Assets/Settings/PickFilter/PickFilterSettings.asset,PickFilterSettings,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_A_0002.png,CP_IDLE_A_0002,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_A_0003.png,CP_IDLE_A_0003,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_A_0001.png,CP_IDLE_A_0001,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0001.png,CP_bloom_0001,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0003.png,CP_bloom_0003,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0002.png,CP_bloom_0002,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0006.png,CP_bloom_0006,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0005.png,CP_bloom_0005,not snake_case-ish
Assets/Arts/Checkpoint/CP_bloom_0004.png,CP_bloom_0004,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_C_0001.png,CP_IDLE_C_0001,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_B_0001.png,CP_IDLE_B_0001,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_B_0002.png,CP_IDLE_B_0002,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_C_0002.png,CP_IDLE_C_0002,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_C_0003.png,CP_IDLE_C_0003,not snake_case-ish
Assets/Arts/Checkpoint/CP_IDLE_B_0003.png,CP_IDLE_B_0003,not snake_case-ish
Assets/Arts/ThornPlatform/art-ThornPlatform-1-2.2.png,art-ThornPlatform-1-2.2,not snake_case-ish
Assets/Arts/ThornPlatform/art-ThornPlatform-1-2.1.png,art-ThornPlatform-1-2.1,not snake_case-ish
Assets/Arts/ThornPlatform/art-ThornPlatform-1.png,art-ThornPlatform-1,not snake_case-ish
Assets/Arts/ThornPlatform/art-ThornPlatform-2.png,art-ThornPlatform-2,not snake_case-ish
Assets/Arts/PlayerArt/Death/死亡后退草图.png,死亡后退草图,contains CJK; not snake_case-ish
Assets/Arts/PlayerArt/Death/复活草图.png,复活草图,contains CJK; not snake_case-ish
Assets/Arts/PlayerArt/Death/死亡消散草图.png,死亡消散草图,contains CJK; not snake_case-ish
Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_08 1.png,anim_pl_walk_08 1,contains space; not snake_case-ish
Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_04 1.png,anim_pl_walk_04 1,contains space; not snake_case-ish
Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_06 1.png,anim_pl_walk_06 1,contains space; not snake_case-ish
Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_02 1.png,anim_pl_walk_02 1,contains space; not snake_case-ish
Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_07 1.png,anim_pl_walk_07 1,contains space; not snake_case-ish
