author,domain,insertions,deletions,files_touched,churn
OriSYX,Level Design,402778,98975,179,501753
OriSYX,Art,37866,14928,811,52794
OriSYX,Config,10125,339,419,10464
OriSYX,CI/CD,2818,770,123,3588
OriSYX,Other,1568,617,386,2185
OriSYX,Gameplay Code,1470,129,85,1599
OriSYX,Rendering,388,1131,68,1519
OriSYX,Docs,147,0,3,147
OriSYX,Code,8,0,1,8
Vanish,Rendering,383574,319401,3778,702975
Vanish,Level Design,390021,220922,2132,610943
Vanish,Config,546040,22185,1061,568225
Vanish,Code,234567,45506,2194,280073
Vanish,Other,75313,54177,2792,129490
Vanish,CI/CD,70188,44222,1908,114410
Vanish,Audio,60291,4587,1180,64878
Vanish,Art,29527,3493,639,33020
Vanish,Docs,10184,4264,151,14448
Vanish,Gameplay Code,8805,4566,326,13371
Vanish,UI,2494,149,76,2643
Vanish,Tests,930,430,48,1360
Vanish0314,Docs,25,0,1,25
Vanish0314,CI/CD,1,1,1,2
likoko,Level Design,214562,165206,83,379768
likoko,Rendering,197007,13,1943,197020
likoko,Art,4172,31,43,4203
likoko,Config,154,17,5,171
likoko,Other,75,9,15,84
likoko,CI/CD,6,3,3,9
likoko,Gameplay Code,3,3,3,6
likoko,Docs,3,1,1,4
vanish,Level Design,119125,376069,160,495194
vanish,CI/CD,12155,12545,272,24700
vanish,Config,5066,5336,130,10402
vanish,Code,4761,2078,45,6839
vanish,Art,3042,933,60,3975
vanish,Other,1188,219,124,1407
vanish,Audio,222,1124,13,1346
vanish,Rendering,799,11,25,810
vanish,Docs,53,401,12,454
vanish,Gameplay Code,276,32,17,308
vanish,Tests,56,0,7,56
消失,Rendering,191413,75,1928,191488
消失,Other,46290,720,156,47010
消失,Config,9906,975,98,10881
消失,CI/CD,4329,1924,107,6253
消失,Code,4671,421,35,5092
消失,Art,1354,134,35,1488
消失,Docs,665,2,17,667
消失,Level Design,40,414,10,454
消失,Tests,194,4,15,198
