author,extension,insertions,deletions,files_touched,churn
OriSYX,.ldtk,393200,98101,24,491301
OriSYX,.meta,46315,16219,994,62534
OriSYX,.asset,9666,426,266,10092
OriSYX,.cs,4040,1167,125,5207
OriSYX,.spriteatlas,2054,1,5,2055
OriSYX,.png,773,392,387,1165
OriSYX,.ldtkt,397,34,14,431
OriSYX,.anim,260,107,122,367
OriSYX,.shader,30,197,4,227
OriSYX,.prefab,157,67,67,224
OriSYX,.md,147,0,3,147
OriSYX,.asmdef,5,66,5,71
OriSYX,.unity,32,32,16,64
OriSYX,.controller,47,17,20,64
OriSYX,.mat,28,34,17,62
OriSYX,.json,5,17,3,22
OriSYX,.physicsmaterial2d,11,11,2,22
OriSYX,(none),1,1,1,2
Vanish,.cs,789065,344648,5623,1133713
Vanish,.ldtk,324605,592099,62,916704
Vanish,.asset,571618,32970,993,604588
Vanish,.xml,112709,57089,721,169798
Vanish,.meta,120884,34240,8681,155124
Vanish,.shadergraph,149621,1706,46,151327
Vanish,.json,109543,1375,117,110918
Vanish,.shader,49640,26776,600,76416
Vanish,.yml,14363,14924,219,29287
Vanish,.hlsl,27691,0,191,27691
Vanish,.csv,24661,0,40,24661
Vanish,.md,14150,6355,92,20505
Vanish,.txt,14233,6093,85,20326
Vanish,.guiskin,5340,5340,2,10680
Vanish,.template,3021,0,50,3021
Vanish,.asmdef,1798,351,139,2149
Vanish,.py,2083,0,1,2083
Vanish,.po,1903,0,4,1903
Vanish,.png,1381,469,646,1850
Vanish,.shadersubgraph,1768,0,3,1768
Vanish,.unity,729,1012,157,1741
Vanish,.wlt,654,654,2,1308
Vanish,.compute,1170,0,14,1170
Vanish,.inputactions,1169,0,3,1169
Vanish,.cginc,999,144,13,1143
Vanish,.ogg,486,483,323,969
Vanish,(none),695,93,63,788
Vanish,.uss,693,62,7,755
Vanish,.prefab,403,184,181,587
Vanish,.mat,424,46,153,470
Vanish,.lighting,443,0,7,443
Vanish,.sh,393,3,5,396
Vanish,.uxml,347,46,11,393
Vanish,.html,317,0,1,317
Vanish,.nuspec,257,25,8,282
Vanish,.scenetemplate,261,0,3,261
Vanish,.bat,222,6,10,228
Vanish,.dll,171,24,80,195
Vanish,.spriteatlas,194,0,2,194
Vanish,.ldtkt,101,68,7,169
Vanish,.mp3,153,0,51,153
Vanish,.jslib,140,0,2,140
Vanish,.mm,128,0,2,128
Vanish,.psd,117,0,39,117
Vanish,.plist,108,0,6,108
Vanish,.anim,94,1,32,95
Vanish,.bank,27,27,18,54
Vanish,.wav,42,0,14,42
Vanish,.rendertexture,39,0,1,39
Vanish,.controller,34,4,12,38
Vanish,.config,32,1,5,33
Vanish,.targets,30,0,5,30
Vanish,.physicmaterial,29,0,2,29
Vanish,.jpg,27,0,9,27
Vanish,.urtshader,24,0,3,24
Vanish,.fbx,24,0,8,24
Vanish,.zip,18,0,6,18
Vanish,.ovdf,15,0,1,15
Vanish,.tga,12,0,4,12
Vanish,.physicsmaterial2d,11,0,1,11
Vanish,.fspro,4,2,3,6
Vanish,.asmref,3,0,1,3
Vanish,.url,2,0,1,2
Vanish,.tss,1,0,1,1
Vanish,._,0,0,5,0
likoko,.ldtk,212671,164945,16,377616
likoko,.cs,128670,3,479,128673
likoko,.shader,26049,0,221,26049
likoko,.meta,25256,173,1049,25429
likoko,.asset,6087,118,133,6205
likoko,.txt,5761,0,5,5761
likoko,.guiskin,5340,0,1,5340
likoko,.shadergraph,5336,0,2,5336
likoko,.png,452,14,153,466
likoko,.ldtkt,132,0,4,132
likoko,.cginc,121,0,1,121
likoko,.unity,24,10,9,34
likoko,.mat,23,8,9,31
likoko,.prefab,11,11,8,22
likoko,.xml,18,0,3,18
likoko,.asmdef,15,0,1,15
likoko,(none),13,0,1,13
likoko,.md,3,1,1,4
