author,path,insertions,deletions,touches,churn
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project.ldtk,115381,86899,12,202280
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-33-24/gm_ldtk_project.ldtk,26675,0,1,26675
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_04-31-54/gm_ldtk_project.ldtk,26666,0,1,26666
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-03-22/gm_ldtk_project.ldtk,26666,0,1,26666
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-04-07/gm_ldtk_project.ldtk,26666,0,1,26666
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-03-55/gm_ldtk_project.ldtk,26664,0,1,26664
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-03-20/gm_ldtk_project.ldtk,26656,0,1,26656
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-03-37/gm_ldtk_project.ldtk,26656,0,1,26656
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-33-00/gm_ldtk_project.ldtk,26656,0,1,26656
OriSYX,Assets/GameMain/LDtkProject/gm_ldtk_project/backups/f3c6abc0-21a0-11f1-8b8e-f3e3f2eecddf_2026-03-26_05-33-23/gm_ldtk_project.ldtk,26656,0,1,26656
