name,files,bytes,lines,todos,blank_lines,comment_like_lines
Other,317,323279348,1545,0,29,17
Font,35,303836980,0,0,0,0
Audio,66,303769686,0,0,0,0
Raster Art,607,85845526,0,0,0,0
Plugin Binary,49,53396936,0,0,0,0
Unity Asset,341,52545304,52941,0,61,25
C# Code,2282,21429249,565403,326,68895,40237
Scene,40,12951008,130175,0,16,0
Rendering Code,597,7199849,75536,41,11759,20405
Level Data,1,4336229,0,0,0,0
Archive,6,3626360,0,0,0,0
Prefab,84,3114343,121196,0,5,0
Unity Meta,5512,3086370,136028,0,55,0
Structured Text Asset,146,2904107,57030,7,369,174
Document,2,1168975,0,0,0,0
Docs,75,1033286,20014,75,4199,5387
Animation,102,496231,18434,0,0,0
Material,127,394713,14465,0,0,0
Automation,10,115502,2862,0,387,227
UI Toolkit,13,38529,932,0,102,13
Binary Data,1,1616,0,0,0,0
