pr_number,title,author,github_author,topic,deadline_at,deadline_type,first_signal_at,first_commit_at,last_commit_at,first_signal_source,hours_before_deadline,within_24h,within_72h,commit_count,churn,additions,deletions,changed_files
351,Stats,Vanish,Vanish,Docs/Stats,2026-06-18T03:58:01+08:00,merged_at,2026-06-18T03:58:01+08:00,2026-06-18T03:58:01+08:00,2026-06-18T03:58:01+08:00,linked_commit,0.0,True,True,1,133754,133754,0,44
350,Introduce shared game identifiers and standardize startup constants,Vanish,Vanish,Assets/Art,2026-06-18T02:22:20+08:00,merged_at,2026-06-18T02:22:20+08:00,2026-06-18T02:22:20+08:00,2026-06-18T02:22:20+08:00,linked_commit,0.0,True,True,1,41,34,7,9
348,Vanish/menu UI,Vanish,Vanish,UI,2026-06-18T02:07:22+08:00,merged_at,2026-06-18T02:07:22+08:00,2026-06-18T02:07:22+08:00,2026-06-18T02:07:22+08:00,linked_commit,0.0,True,True,1,1367,1276,91,22
345,111,likoko,likoko,Other,2026-06-06T22:11:02+08:00,merged_at,2026-06-06T22:11:02+08:00,2026-06-06T22:11:02+08:00,2026-06-06T22:11:02+08:00,linked_commit,0.0,True,True,1,15029,13961,1068,6
344,1,OriSYX,OriSYX,Other,2026-06-05T14:43:45+08:00,merged_at,2026-06-05T14:43:45+08:00,2026-06-05T14:43:45+08:00,2026-06-05T14:43:45+08:00,linked_commit,0.0,True,True,1,1554,1524,30,12
342,5.20 project,OriSYX,OriSYX,Other,2026-06-01T00:07:22+08:00,merged_at,2026-06-01T00:07:22+08:00,2026-06-01T00:07:22+08:00,2026-06-01T00:07:22+08:00,linked_commit,0.0,True,True,1,90766,34792,55974,50
341,mistery fog,Vanish,Vanish,Other,2026-06-01T18:45:08+08:00,merged_at,2026-06-01T18:45:08+08:00,2026-06-01T18:45:08+08:00,2026-06-01T18:45:08+08:00,linked_commit,0.0,True,True,1,119,119,0,7
340,Make Urp Embeded and add new overlap operation mode: Use Max,Vanish,Vanish,Other,2026-05-28T18:32:31+08:00,merged_at,2026-05-28T18:32:31+08:00,2026-05-28T18:32:31+08:00,2026-05-28T18:32:31+08:00,linked_commit,0.0,True,True,1,315182,315142,40,2739
337, 一些贪吃蛇数据加载,Vanish,Vanish,Other,2026-05-25T19:11:45+08:00,merged_at,2026-05-25T19:11:45+08:00,2026-05-25T19:11:45+08:00,2026-05-25T19:11:45+08:00,linked_commit,0.0,True,True,1,545,506,39,20
334,change snake move mode,Vanish,Vanish,Other,2026-05-25T00:08:02+08:00,merged_at,2026-05-25T00:08:02+08:00,2026-05-25T00:08:02+08:00,2026-05-25T00:08:02+08:00,linked_commit,0.0,True,True,1,21,9,12,1
331,RainRust 光照: 修复 alpha 语义不一致 + Debug 可视化,Vanish,Vanish,Bug/Fix,2026-05-22T20:36:58+08:00,merged_at,2026-05-22T20:36:58+08:00,2026-05-22T20:36:58+08:00,2026-05-22T20:36:58+08:00,linked_commit,0.0,True,True,1,670,626,44,16
328,Super Text,Vanish,Vanish,Other,2026-05-18T19:52:27+08:00,merged_at,2026-05-18T19:52:27+08:00,2026-05-18T19:52:27+08:00,2026-05-18T19:52:27+08:00,linked_commit,0.0,True,True,1,1539,1497,42,48
320,333,OriSYX,OriSYX,Other,2026-05-08T01:22:20+08:00,merged_at,2026-05-08T01:22:20+08:00,2026-05-08T01:22:20+08:00,2026-05-08T01:22:20+08:00,linked_commit,0.0,True,True,1,9914,9157,757,31
319,"Add Lights""",Vanish,Vanish,Rendering,2026-05-07T23:21:48+08:00,merged_at,2026-05-07T23:21:48+08:00,2026-05-07T23:21:48+08:00,2026-05-07T23:21:48+08:00,linked_commit,0.0,True,True,1,50,50,0,10
316,Vanish/fuck unity,Vanish,Vanish,Other,2026-05-07T20:35:06+08:00,merged_at,2026-05-07T20:35:06+08:00,2026-05-07T20:35:06+08:00,2026-05-07T20:35:06+08:00,linked_commit,0.0,True,True,1,1943,1453,490,89
315,加了一些植物,likoko,likoko,Other,2026-05-07T18:51:04+08:00,merged_at,2026-05-07T18:51:04+08:00,2026-05-07T18:51:04+08:00,2026-05-07T18:51:04+08:00,linked_commit,0.0,True,True,1,7797,6835,962,15
