package,version,source
com.coplaydev.unity-mcp,https://github.com/CoplayDev/unity-mcp.git?path=/MCPForUnity#main,Git URL
com.cysharp.r3,https://github.com/Cysharp/R3.git?path=src/R3.Unity/Assets/R3.Unity,Git URL
com.github-glitchenzo.nugetforunity,https://github.com/GlitchEnzo/NuGetForUnity.git?path=/src/NuGetForUnity,Git URL
com.unity.2d.sprite,1.0.0,Unity Registry
com.unity.addressables,2.7.4,Unity Registry
com.unity.cinemachine,3.1.6,Unity Registry
com.unity.feature.2d,2.0.2,Unity Registry
com.unity.ide.rider,3.0.38,Unity Registry
com.unity.ide.visualstudio,2.0.25,Unity Registry
com.unity.ide.vscode,1.2.5,Unity Registry
com.unity.inputsystem,1.17.0,Unity Registry
com.unity.localization,1.5.8,Unity Registry
com.unity.modules.accessibility,1.0.0,Unity Registry
com.unity.modules.animation,1.0.0,Unity Registry
com.unity.modules.assetbundle,1.0.0,Unity Registry
com.unity.modules.audio,1.0.0,Unity Registry
com.unity.modules.imageconversion,1.0.0,Unity Registry
com.unity.modules.jsonserialize,1.0.0,Unity Registry
com.unity.modules.particlesystem,1.0.0,Unity Registry
com.unity.modules.physics,1.0.0,Unity Registry
com.unity.modules.physics2d,1.0.0,Unity Registry
com.unity.modules.tilemap,1.0.0,Unity Registry
com.unity.modules.ui,1.0.0,Unity Registry
com.unity.modules.uielements,1.0.0,Unity Registry
com.unity.modules.umbra,1.0.0,Unity Registry
com.unity.modules.unityanalytics,1.0.0,Unity Registry
com.unity.modules.vectorgraphics,1.0.0,Unity Registry
com.unity.modules.video,1.0.0,Unity Registry
com.unity.multiplayer.center,1.0.1,Unity Registry
com.unity.probuilder,6.0.9,Unity Registry
com.unity.project-auditor,1.0.2,Unity Registry
com.unity.render-pipelines.universal,17.3.0,Unity Registry
com.unity.test-framework,1.6.0,Unity Registry
com.unity.testtools.codecoverage,1.2.7,Unity Registry
com.unity.timeline,1.8.9,Unity Registry
com.unity.ugui,2.0.0,Unity Registry
com.unity.visualeffectgraph,17.3.0,Unity Registry
com.wooshii.hierarchydecorator,https://github.com/WooshiiDev/HierarchyDecorator.git,Git URL
