name,files,bytes,lines,todos,blank_lines,comment_like_lines
Audio,558,640441300,52088,2,5994,1092
Other,1860,343945004,181780,7,358,174
Config,455,52691554,41002,0,1280,96
Art,766,47064801,48413,0,0,0
Rendering,3070,46624376,345429,109,32223,32646
Level Design,1918,42026795,285483,179,16375,18893
Code,953,6385969,190194,88,23711,10994
UI,61,3702693,2378,0,150,16
CI/CD,493,927226,28193,2,3794,1435
Gameplay Code,190,530273,16243,2,738,204
Docs,73,213145,4815,60,1176,689
Tests,16,17011,543,0,78,246
