name,files,bytes,lines,todos,blank_lines,comment_like_lines
.mp3,51,303191998,0,0,0,0
.ttf,19,301057452,0,0,0,0
.a,22,218208222,0,0,0,0
.png,572,76244058,0,0,0,0
.dll,49,53396936,0,0,0,0
.asset,341,52545304,52941,0,61,25
.so,23,36196060,0,0,0,0
.pdc,22,23101400,0,0,0,0
.cs,2282,21429249,565403,326,68895,40237
.fobj,11,13727411,0,0,0,0
.unity,40,12951008,130175,0,16,0
(none),15,12767165,0,0,0,0
.scenetemplate,3,6229375,0,0,0,0
.psd,22,6223291,0,0,0,0
.tif,2,5304704,0,0,0,0
.shadergraph,46,4572484,0,0,0,0
.ldtk,1,4336229,0,0,0,0
.exr,25,4105584,0,0,0,0
.zip,6,3626360,0,0,0,0
.prefab,84,3114343,121196,0,5,0
.jpg,9,2872622,0,0,0,0
.xml,123,2864573,55638,7,365,174
.otf,16,2779528,0,0,0,0
.fbx,8,2309733,0,0,0,0
.png.meta,568,1563685,67900,0,0,0
.shader,341,1502104,46126,5,7012,11614
.pdf,2,1168975,0,0,0,0
.hlsl,191,1059176,27691,36,4448,8598
.txt,49,650679,13549,11,2744,4429
.data,4,516878,0,0,0,0
.wav,14,514211,0,0,0,0
.cs.meta,2282,509830,22753,0,2,0
.tga,4,505555,0,0,0,0
.md,29,398712,7010,64,1580,1042
.mat,127,394713,14465,0,0,0
.anim,82,298415,10919,0,0,0
.ldtkt.meta,16,290288,12901,0,0,0
.controller,20,197816,7515,0,0,0
.meta,870,149224,6944,0,0,0
.guiskin,1,144591,0,0,0,0
.p7s,6,117466,0,0,0,0
.spriteatlas,2,113941,0,0,0,0
.aiff,1,95372,0,0,0,0
.template,50,95200,0,0,0,0
.yml,6,93809,2134,0,262,143
.shader.meta,341,68843,3079,0,0,0
.exr.meta,25,68017,2949,0,0,0
.ogg,1,63477,0,0,0,0
.asset.meta,313,58242,2508,0,0,0
.psd.meta,22,54821,2362,0,0,0
.compute,14,48957,1170,0,201,135
.po,2,48144,0,0,0,0
.json,24,45122,1575,0,4,0
.inputactions,2,44725,0,0,0,0
.dll.meta,49,42696,2197,0,0,0
.shadersubgraph,3,40555,0,0,0,0
.asmdef,48,33736,1209,0,0,0
.hlsl.meta,191,33545,1459,0,0,0
.a.meta,22,25021,1336,0,0,0
.uxml,8,24512,301,0,19,12
.mat.meta,127,22492,968,0,0,0
.shadergraph.meta,46,19861,673,0,52,0
.cginc,5,17128,549,0,98,58
.fbx.meta,8,17016,700,0,0,0
.anim.meta,82,15398,656,0,0,0
.uss,5,14017,631,0,83,1
.ldtkt,16,12819,0,0,0,0
.prefab.meta,84,12785,578,0,0,0
.lighting,7,12343,0,0,0,0
.jar,1,12340,0,0,0,0
.so.meta,23,11897,637,0,0,0
.tga.meta,4,11784,496,0,0,0
.nuspec,6,11419,0,0,0,0
.jpg.meta,9,9033,437,0,0,0
.ttf.meta,19,8992,390,0,0,0
.asmdef.meta,48,8176,346,0,0,0
.otf.meta,16,7760,336,0,0,0
.template.meta,50,7123,314,0,0,0
.PNG.meta,4,6704,304,0,0,0
.unity.meta,40,6155,278,0,0,0
.txt.meta,38,6120,272,0,0,0
.sh,2,5706,195,0,21,16
.mm,1,5574,0,0,0,0
.controller.meta,20,3748,160,0,0,0
.aar,1,3343,0,0,0,0
.bat,3,3139,112,0,8,1
.targets,5,3025,0,0,0,0
.md.meta,19,3002,133,0,0,0
.plist,3,2998,0,0,0,0
.bundle.meta,3,2918,161,0,0,0
.xml.meta,16,2524,112,0,0,0
.ldtk.meta,1,2512,79,0,0,0
.0.meta,14,2408,112,0,0,0
.uxml.meta,8,2256,80,0,0,0
.compute.meta,14,2254,98,0,0,0
.mm.meta,1,2131,112,0,0,0
.tif.meta,2,1828,90,0,0,0
.jslib,1,1822,0,0,0,0
.json.meta,11,1772,78,0,0,0
.bytes,1,1616,0,0,0,0
.TXT.meta,10,1580,70,0,0,0
.uss.meta,5,1556,56,0,0,0
.wav.meta,3,1389,66,0,0,0
.lighting.meta,7,1328,56,0,0,0
.config,2,1205,29,0,0,0
.cginc.meta,5,1031,45,0,0,0
.nuspec.meta,6,930,42,0,0,0
.zip.meta,6,930,42,0,0,0
.config.meta,2,870,46,0,0,0
.1.meta,5,860,40,0,0,0
.urtshader.meta,3,855,30,0,0,0
.shadersubgraph.meta,3,855,30,0,0,0
.rendertexture,1,853,0,0,0,0
.urtshader,3,821,0,0,0,0
._.meta,5,775,35,0,0,0
.targets.meta,5,775,35,0,0,0
.inputactions.meta,2,753,29,0,1,0
.jslib.meta,1,711,39,0,0,0
.physicmaterial,2,650,0,0,0,0
.data.meta,4,639,29,0,0,0
.aar.meta,1,614,33,0,0,0
.jar.meta,1,608,32,0,0,0
.scenetemplate.meta,3,567,24,0,0,0
.aiff.meta,1,463,22,0,0,0
.ogg.meta,1,448,21,0,0,0
.mp3.meta,1,448,21,0,0,0
.spriteatlas.meta,2,400,16,0,0,0
.tss.meta,1,336,12,0,0,0
.pdf.meta,2,331,15,0,0,0
.ovdf,1,321,0,0,0,0
.po.meta,2,320,14,0,0,0
.physicMaterial.meta,2,275,12,0,0,0
.physicsmaterial2d,1,253,0,0,0,0
.br,2,222,0,0,0,0
.url.meta,1,197,9,0,0,0
.fbm.meta,1,192,9,0,0,0
.Asset.meta,1,189,8,0,0,0
.renderTexture.meta,1,188,8,0,0,0
.physicsMaterial2D.meta,1,188,8,0,0,0
.XML.meta,2,186,8,0,0,0
.guiskin.meta,1,181,8,0,0,0
.bytes.meta,1,179,8,0,0,0
.asmref.meta,1,175,7,0,0,0
.39.meta,1,172,8,0,0,0
.8.meta,1,172,8,0,0,0
.19.meta,1,172,8,0,0,0
.Localization.meta,1,172,8,0,0,0
.Addressables.meta,1,172,8,0,0,0
.Mathematics.meta,1,172,8,0,0,0
.ovdf.meta,1,155,7,0,0,0
.fspro,1,88,0,0,0,0
.url,1,61,0,0,0,0
.asmref,1,47,0,0,0,0
.tss,1,37,0,0,0,0
._,5,0,0,0,0,0
