path,field,rule
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMoveCapability.cs,mPlayerMovementComponent,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,mHit,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,mUpdateSubscription,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,mCollideAndSlideDebugger,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,mOriginalVelocity,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,mNewVelocity,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,mRigidbody,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,mCollider,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,mCollisionEnterSubscription,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,mCollisionExitSubscription,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,mCollisionStaySubscription,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCurrentHit,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCastOrigin,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCastDirection,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCastDistance,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCapsuleSize,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mCapsuleDirection,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mHasHit,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mOriginalVelocity,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,mNewVelocity,private/protected/internal field should start with m_
Assets/Demos/FunctionDev/FpDemo/FpSample.cs,runExamplesOnStart,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustContextData.cs,odd,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustContextData.cs,even,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,material,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,mainRtHandle,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,distanceRtHandle,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,lightingRtHandle,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,noiseTextureHandle,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,aspect,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,noiseTilingOffset,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,rayCount,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,intensity,private/protected/internal field should start with m_
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,power,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,_document,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,_mainMenuScreen,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,_saveSlotScreen,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,_settingsScreen,private/protected/internal field should start with m_
