path,month,insertions,deletions,touches,churn
Assets/Core/Common/StateMachine/Drivers/StateDriverUnity.cs,2025-10,72,0,1,72
Assets/Core/Common/StateMachine/StateMachine.cs,2025-10,736,0,1,736
Assets/Core/EventSystem/MessageBroker.cs,2025-10,365,11,2,376
Assets/Core/EventSystem/MessageBroker.cs,2026-03,11,11,1,22
Assets/Core/EventSystem/MessageBroker.cs,2026-05,396,45,2,441
Assets/Core/GameCore/Registry/CoreSystemRegistry.cs,2026-04,223,5,2,228
Assets/Core/GameCoreSystems/Audio/VgAudioSystem.cs,2026-04,408,40,2,448
Assets/Core/GameCoreSystems/Camera/VgCameraManager.cs,2026-04,231,11,4,242
Assets/Core/GameCoreSystems/Camera/VgCameraManager.cs,2026-05,122,3,3,125
Assets/Core/GameCoreSystems/Camera/VgCameraManager.cs,2026-06,1,1,1,2
Assets/Core/GameCoreSystems/Input/VgInputSystem.cs,2026-04,235,12,2,247
Assets/Core/GameCoreSystems/SaveSystem/VgSaveSystem.cs,2026-04,450,1,2,451
Assets/Core/Input/VgInput.cs,2025-11,352,0,1,352
Assets/Core/Input/VgInput.cs,2026-03,1,1,1,2
Assets/Core/Input/VgInput.cs,2026-04,78,76,1,154
Assets/Core/ParallaxBackground/ParallaxBackground.cs,2026-03,446,67,5,513
Assets/Core/ParallaxBackground/ParallaxBackground.cs,2026-04,8,18,1,26
Assets/Core/ParallaxBackground/ParallaxBackground.cs,2026-05,116,90,2,206
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,2025-11,270,0,1,270
Assets/Editor/MessageBrokerDebugger/MessageBrokerDebuggerWindow.cs,2026-05,624,1,2,625
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkAutoEntityProcessor.cs,2026-04,492,165,5,657
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelManager.cs,2026-04,731,258,4,989
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelManager.cs,2026-05,36,0,1,36
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/Chain/EntityChain.cs,2026-04,387,0,1,387
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/Chain/EntityChain.cs,2026-05,55,6,2,61
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,2026-04,292,0,1,292
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,2026-05,156,32,4,188
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,2026-06,36,17,1,53
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,2026-05,218,0,2,218
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,2026-06,4,4,1,8
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerCollisionStartCheck.cs,2026-04,308,0,1,308
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerCollisionStartCheck.cs,2026-05,88,11,3,99
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerCollisionStartCheck.cs,2026-06,15,5,1,20
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnake.cs,2026-04,526,14,4,540
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnake.cs,2026-05,89,12,2,101
Assets/GameMain/Scripts/RunTime/UI/SuperText/EffectTextRenderer.cs,2026-05,471,0,1,471
