path,top_layer,extension,simple_extension,category,domain,scope,bytes,lines,blank_lines,comment_like_lines,todo_markers,lfs_pointer,modified_time
CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,.md,.md,Docs,Docs,first_party,5219,128,35,30,0,False,2026-06-18T03:01:58
.DS_Store,.DS_Store,(none),(none),Other,Other,first_party,8196,0,0,0,0,False,2026-06-18T03:31:51
LICENSE,LICENSE,(none),(none),Other,Other,first_party,1072,0,0,0,0,False,2026-06-18T03:01:58
.lfsconfig,.lfsconfig,(none),(none),Other,CI/CD,first_party,93,0,0,0,0,False,2026-06-18T03:01:56
.gitmodules,.gitmodules,(none),(none),Other,Other,first_party,403,0,0,0,0,False,2026-06-18T03:18:25
.editorconfig,.editorconfig,(none),(none),Other,Other,first_party,1868,0,0,0,0,False,2026-06-18T03:18:25
README.md,README.md,.md,.md,Docs,Docs,first_party,6049,160,27,28,0,False,2026-06-18T03:01:58
.gitignore,.gitignore,(none),(none),Other,Other,first_party,2923,0,0,0,0,False,2026-06-18T03:18:25
CONTRIBUTING.md,CONTRIBUTING.md,.md,.md,Docs,Docs,first_party,22,1,0,1,0,False,2026-06-18T03:01:58
.gitattributes,.gitattributes,(none),(none),Other,CI/CD,first_party,1117,0,0,0,0,False,2026-06-18T03:01:56
csharpierrc.json,csharpierrc.json,.json,.json,Structured Text Asset,Config,first_party,92,6,0,0,0,False,2026-06-18T03:01:58
.vsconfig,.vsconfig,(none),(none),Other,Other,first_party,96,0,0,0,0,False,2026-06-18T03:01:56
SECURITY.md,SECURITY.md,.md,.md,Docs,Docs,first_party,520,18,6,3,0,False,2026-06-18T03:01:58
FMOD/fmod.fspro,FMOD,.fspro,.fspro,Other,Audio,first_party,88,0,0,0,0,False,2026-06-18T03:01:58
FMOD/fmod/Assets/Test/SFX/UI/select.wav,FMOD,.wav,.wav,Audio,UI,first_party,2284,0,0,0,0,False,2026-06-18T03:05:42
FMOD/fmod/Assets/Test/SFX/UI/click.wav,FMOD,.wav,.wav,Audio,UI,first_party,3602,0,0,0,0,False,2026-06-18T03:05:42
FMOD/fmod/Assets/Test/SFX/GamePlay/pickupCoin.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,14581,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/SFX/GamePlay/jump.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,7321,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/SFX/GamePlay/hitHurt_1.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,7777,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/SFX/GamePlay/hitHurt_0.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,8512,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/SFX/GamePlay/hitHurt_2.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,8512,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/SFX/GamePlay/explosion.wav,FMOD,.wav,.wav,Audio,Gameplay Code,first_party,19753,0,0,0,0,False,2026-06-18T03:05:40
FMOD/fmod/Assets/Test/BGM/Vol 2 - 07 - John Fio - Hellsea.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,9040913,0,0,0,0,False,2026-06-18T03:05:43
FMOD/fmod/Assets/Test/BGM/Vol 2 - 11 - John Fio - Asphalt Reverie.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,8309342,0,0,0,0,False,2026-06-18T03:05:53
FMOD/fmod/Assets/Test/BGM/Vol 1 - 08 - Blood Cultures - Alcian Blue.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,5946390,0,0,0,0,False,2026-06-18T03:05:42
FMOD/fmod/Assets/Test/BGM/Vol 1 - 12 - Blood Cultures - The Age Of Disbelief.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,4971523,0,0,0,0,False,2026-06-18T03:07:15
FMOD/fmod/Assets/Test/BGM/Vol 1 - 05 - Blood Cultures - Overlord.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,6708581,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/BGM/Vol 2 - 09 - John Fio - Gift Shop.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,3884344,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/BGM/Vol 1 - 03 - Blood Cultures - Where The City Can_t See.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,5945296,0,0,0,0,False,2026-06-18T03:05:41
"FMOD/fmod/Assets/Test/BGM/Vol 1 - 07 - Blood Cultures - The Alpha, The Omega.mp3",FMOD,.mp3,.mp3,Audio,Audio,first_party,4964821,0,0,0,0,False,2026-06-18T03:05:41
FMOD/fmod/Assets/Test/BGM/Vol 1 - 06 - Blood Cultures - It's Hostile.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,4523560,0,0,0,0,False,2026-06-18T03:05:42
FMOD/fmod/Assets/Test/BGM/Vol 2 - 10 - John Fio - Waiting Grounds.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,9660770,0,0,0,0,False,2026-06-18T03:05:42
FMOD/fmod/Assets/Test/BGM/Vol 1 - 11 - Blood Cultures - Hole In The Sun.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,4964877,0,0,0,0,False,2026-06-18T03:06:09
FMOD/fmod/Assets/Test/BGM/Vol 2 - 08 - John Fio - Godhook.mp3,FMOD,.mp3,.mp3,Audio,Audio,first_party,8442630,0,0,0,0,False,2026-06-18T03:05:43
