number,title,state,merged,draft,author,created_at,closed_at,merged_at,lead_time_hours,commits,additions,deletions,changed_files,base,head,labels,topic,review_decision,source
351,Stats,merged_inferred,True,False,Vanish,,2026-06-18T03:58:01+08:00,2026-06-18T03:58:01+08:00,,1,133754,0,44,,,,Docs/Stats,,git_subject_inferred
350,Introduce shared game identifiers and standardize startup constants,merged_inferred,True,False,Vanish,,2026-06-18T02:22:20+08:00,2026-06-18T02:22:20+08:00,,1,34,7,9,,,,Assets/Art,,git_subject_inferred
348,Vanish/menu UI,merged_inferred,True,False,Vanish,,2026-06-18T02:07:22+08:00,2026-06-18T02:07:22+08:00,,1,1276,91,22,,,,UI,,git_subject_inferred
345,111,merged_inferred,True,False,likoko,,2026-06-06T22:11:02+08:00,2026-06-06T22:11:02+08:00,,1,13961,1068,6,,,,Other,,git_subject_inferred
344,1,merged_inferred,True,False,OriSYX,,2026-06-05T14:43:45+08:00,2026-06-05T14:43:45+08:00,,1,1524,30,12,,,,Other,,git_subject_inferred
342,5.20 project,merged_inferred,True,False,OriSYX,,2026-06-01T00:07:22+08:00,2026-06-01T00:07:22+08:00,,1,34792,55974,50,,,,Other,,git_subject_inferred
341,mistery fog,merged_inferred,True,False,Vanish,,2026-06-01T18:45:08+08:00,2026-06-01T18:45:08+08:00,,1,119,0,7,,,,Other,,git_subject_inferred
340,Make Urp Embeded and add new overlap operation mode: Use Max,merged_inferred,True,False,Vanish,,2026-05-28T18:32:31+08:00,2026-05-28T18:32:31+08:00,,1,315142,40,2739,,,,Other,,git_subject_inferred
337, 一些贪吃蛇数据加载,merged_inferred,True,False,Vanish,,2026-05-25T19:11:45+08:00,2026-05-25T19:11:45+08:00,,1,506,39,20,,,,Other,,git_subject_inferred
334,change snake move mode,merged_inferred,True,False,Vanish,,2026-05-25T00:08:02+08:00,2026-05-25T00:08:02+08:00,,1,9,12,1,,,,Other,,git_subject_inferred
331,RainRust 光照: 修复 alpha 语义不一致 + Debug 可视化,merged_inferred,True,False,Vanish,,2026-05-22T20:36:58+08:00,2026-05-22T20:36:58+08:00,,1,626,44,16,,,,Bug/Fix,,git_subject_inferred
328,Super Text,merged_inferred,True,False,Vanish,,2026-05-18T19:52:27+08:00,2026-05-18T19:52:27+08:00,,1,1497,42,48,,,,Other,,git_subject_inferred
320,333,merged_inferred,True,False,OriSYX,,2026-05-08T01:22:20+08:00,2026-05-08T01:22:20+08:00,,1,9157,757,31,,,,Other,,git_subject_inferred
319,"Add Lights""",merged_inferred,True,False,Vanish,,2026-05-07T23:21:48+08:00,2026-05-07T23:21:48+08:00,,1,50,0,10,,,,Rendering,,git_subject_inferred
316,Vanish/fuck unity,merged_inferred,True,False,Vanish,,2026-05-07T20:35:06+08:00,2026-05-07T20:35:06+08:00,,1,1453,490,89,,,,Other,,git_subject_inferred
315,加了一些植物,merged_inferred,True,False,likoko,,2026-05-07T18:51:04+08:00,2026-05-07T18:51:04+08:00,,1,6835,962,15,,,,Other,,git_subject_inferred
314,Oris Update,merged_inferred,True,False,Vanish,,2026-05-07T16:48:20+08:00,2026-05-07T16:48:20+08:00,,1,17849,2493,79,,,,Other,,git_subject_inferred
312,Likoko/5.6,merged_inferred,True,False,likoko,,2026-05-07T16:23:41+08:00,2026-05-07T16:23:41+08:00,,1,889,8,16,,,,Other,,git_subject_inferred
311,Likoko/5.6,merged_inferred,True,False,likoko,,2026-05-07T01:44:42+08:00,2026-05-07T01:44:42+08:00,,1,16311,2402,43,,,,Other,,git_subject_inferred
310,4.29 project,merged_inferred,True,False,OriSYX,,2026-05-06T21:26:02+08:00,2026-05-06T21:26:02+08:00,,1,17,63,2,,,,Other,,git_subject_inferred
309,4.29 project,merged_inferred,True,False,OriSYX,,2026-05-06T20:25:20+08:00,2026-05-06T20:25:20+08:00,,1,44094,23638,265,,,,Other,,git_subject_inferred
