guid,asset_path,references,referencing_files
1356fc0ad58936547870f19dc7e71fa0,Assets/GameMain/LDtkProject/gm_ldtk_project.ldtk,36445,3
6804afdd83798d7458cde120cdf7e79c,Assets/GameMain/LDtkProject/gm_ldtk_project/Mineplant5.ldtkt,1110,2
41c13e5d012c3f64d967373e61a8ac30,Assets/GameMain/LDtkProject/gm_ldtk_project/Mineplant2.ldtkt,961,2
0000000000000000d000000000000000,(external or package),366,1
b63472d203a6a4b7fb252f0f421810d0,Assets/Prefabs/RunTime/System/[GameCore].prefab,204,3
67117722a812a2e46ab8cb8eafbf5f5e,Assets/Plugins/IngameDebugConsole/IngameDebugConsole.prefab,137,1
05c9d0a3288cad944a091a9783d53977,(external or package),107,1
473aff9fc1e2db54880047af11085151,(external or package),104,1
0000000000000000f000000000000000,(external or package),92,28
5b8c730327f0f504cae1cfdbce8fd828,Assets/Prefabs/RunTime/GamePlay/Danger (1).prefab,80,1
05cff8ac91e17fa488da3d3f834377ab,(external or package),77,1
28b620985c691f743a6fefeb9433fbf5,(external or package),70,1
36f6d1dae033a6842b6991e749707986,Assets/Prefabs/RunTime/System/VgIngameConsoleManager.prefab,61,1
371b5dcca120c714294ad8199d4f6393,Assets/Resources/Prefabs/Player/PlatformerPlayer.prefab,50,3
14df1352ef07f97468d78cd1d5062ece,(external or package),50,2
7718b6ca34acc43b898c782cd806920b,Assets/Prefabs/RunTime/System/VgInputManager.prefab,48,3
36b83e83f6c044058bcbcdd7e081dba6,Assets/Prefabs/RunTime/System/Camera/VgCameraManager.prefab,47,1
d045a5105cf63be41b7119e83ae3a78d,Assets/Prefabs/RunTime/System/SaveManager.prefab,46,1
39ad108f0db2c4e0f8a41a15bb891d05,Assets/Prefabs/RunTime/System/Splash/VgSplasherManager.prefab,39,1
82dc560df3c027147bebc3c11809a523,Assets/Prefabs/RunTime/GamePlay/Danger0.prefab,34,4
214346c0aecc97e4092551fbc869c1cd,Assets/Prefabs/RunTime/GamePlay/TempGrabRope.prefab,33,4
71c1514a6bd24e1e882cebbe1904ce04,(external or package),31,31
68e6db2ebdc24f95958faec2be5558d6,Assets/TextMesh Pro/Shaders/TMP_SDF.shader,31,31
701005e63bd96424b876d0f91dec9f56,Assets/Rendering/RainRust/Materials/material_rainRust_onlyAccept.mat,30,3
0000000000000000e000000000000000,(external or package),28,25
567e0612cae8993489c103bdd1d33e12,Assets/Rendering/RainRust/Materials/material_rainRust_default.mat,28,16
d7fd9488000d3734a9e00ee676215985,(external or package),28,28
