path,magic_numbers,sample
Assets/Editor/MessageBrokerDebugger/MessageBrokerDebuggerWindow.cs,61,"0.5f, 220f, 0.8f, 0.8f, 0.8f, 0.4f, 0.9f, 0.9f, 1f, 0.4f, 0.4f, 0.3f"
Assets/Rendering/RainRust/Volume/RainRustVolume.cs,29,"10.0f, 1.0f, 0f, 10f, 1.0f, 0.1f, 1.0f, 16, 0f, 0f, 10f, 0.1f"
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnake.cs,27,"0f, 0f, 0f, 0.1f, 0f, 0.5f, 0.5f, 0.5f, 0f, 0f, 90, 180"
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/Chain/EntityChain.cs,26,"0f, 1f, 1f, 0f, 0f, 0.5f, 0f, 0f, 0f, 0f, 0f, 0f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,26,"1f, 1f, 1f, 2f, 0.3f, 30f, 0f, 0.5f, 2f, 0f, 0.5f, 2f"
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,24,"0.2f, 20f, 0.05f, 0.8f, 0.001f, 0.6f, 0.001f, 0.6f, 0.5f, 2f, 2f, 16"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerCollisionStartCheck.cs,19,"0.5f, 0.1f, 2f, 0.2f, 0.3f, 0.01, 0f, 0f, 0.4f, 2f, 2f, 0.4f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,18,"0.6f, 1.0f, 2.0f, 1f, 0f, 0f, 0f, 0f, 90f, 90f, 90f, 90f"
Assets/Demos/FunctionDev/CharacterControllerDemo/BoxCastDebugger.cs,17,"0f, 1f, 0.5f, 0f, 1f, 0.5f, 1f, 1f, 1f, 1.0f, 0.5f, 0.5f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Vine/MatVineControl.cs,17,"0.6f, 0.1f, 20f, 0f, 0.5f, 0f, 0.5f, 0f, 0f, 0f, 90f, 90f"
Assets/GameMain/Scripts/RunTime/UI/SuperText/EffectTextRenderer.cs,17,"0f, 0f, 0f, 0f, 0f, 0f, 0f, 1f, 3, 3, 3, 3"
Assets/Demos/FunctionDev/FpDemo/FpSample.cs,16,"42, 3, 5, 42, 500, 5, 3, 200, 5, 3, 5, 3"
Assets/GameMain/Scripts/RunTime/DebugUI/DebugUIManager.cs,15,"0.1f, 1000.0f, 1.0f, 60f, 30f, 0.0, 8, 8, 8, 8, 0.7f, 14"
Assets/Tests/Editor/UI/SuperText/RichTextTagParserTests.cs,15,"30, 30, 4, 30, 0.3, 20, 5, 0.3, 20, 3, 3, 3"
