path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Core/EventSystem/MessageBroker.cs,370.44,705,74,839,5,0,1,22,0
Assets/Core/Common/StateMachine/StateMachine.cs,324.53,736,65,736,1,0,1,17,1
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkAutoEntityProcessor.cs,320.22,327,59,657,5,0,0,22,2
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,246.79,435,45,533,6,2,18,0,26
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnake.cs,217.59,589,72,641,6,1,0,0,27
Assets/Core/Common/StateMachine/Drivers/StateDriverUnity.cs,213.0,72,1,72,1,0,51,0,0
Assets/Editor/MessageBrokerDebugger/MessageBrokerDebuggerWindow.cs,201.36,623,68,625,2,0,0,0,61
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelManager.cs,200.99,509,60,1025,5,0,7,2,0
Assets/Core/Input/VgInput.cs,183.13,354,59,508,3,1,0,4,10
Assets/Core/GameCoreSystems/Audio/VgAudioSystem.cs,182.53,368,54,448,2,0,2,6,2
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/Chain/EntityChain.cs,171.73,436,52,448,3,1,3,1,26
Assets/Core/GameCoreSystems/Camera/VgCameraManager.cs,168.83,339,40,369,8,0,12,0,8
Assets/GameMain/Scripts/RunTime/UI/SuperText/EffectTextRenderer.cs,168.28,471,62,471,1,1,0,1,17
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerCollisionStartCheck.cs,155.91,395,44,427,5,0,0,0,19
Assets/Core/ParallaxBackground/ParallaxBackground.cs,149.36,395,45,745,8,1,0,0,4
Assets/Core/GameCoreSystems/SaveSystem/VgSaveSystem.cs,133.01,449,40,451,2,0,6,0,8
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,131.78,218,24,226,3,1,6,0,18
Assets/Demos/FunctionDev/CharacterControllerDemo/CollideAndSlideDebugger.cs,128.95,270,16,270,1,0,10,0,24
Assets/Core/GameCore/Registry/CoreSystemRegistry.cs,127.8,218,25,228,2,0,0,8,0
Assets/Core/GameCoreSystems/Input/VgInputSystem.cs,127.61,223,22,247,2,1,6,4,8
Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,123.42,241,24,261,5,0,0,0,0
Assets/Rendering/RainRust/RenderFeatures/RainRustLighting.cs,119.75,166,22,222,6,0,13,0,0
