path,line,text
Packages/com.unity.render-pipelines.universal/CHANGELOG.md,118,- Fixed a render graph bug where a pass-break between GBuffer and deferred lighting would cause an error.
Packages/com.unity.render-pipelines.universal/CHANGELOG.md,884,- Fixed a regression bug where XR camera postion can not be modified in beginCameraRendering [case 1365000]
Packages/com.unity.render-pipelines.universal/CHANGELOG.md,931,- Fixed a bug with Sprite Targets in ShaderGraph not rendering correctly in game view [1352225]
Packages/com.unity.render-pipelines.universal/CHANGELOG.md,1179,"- Always use ""High"" quality normals, which normalizes the normal in pixel shader. ""Low"" quality normals looked too much like a bug."
Packages/com.unity.render-pipelines.universal/Runtime/Deprecated.cs,569,// TODO: move to core and share with HDRP
Packages/com.unity.render-pipelines.universal/Runtime/Deprecated.cs,1117,public bool m_IsActiveTargetBackBuffer; // TODO: Remove this when we remove non-RG path
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,6,"// TODO SimpleLit material, make sure when variant is !defined(_SPECGLOSSMAP) && !defined(_SPECULAR_COLOR), specular is correctly silenced."
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,7,// TODO use InitializeSimpleLitSurfaceData() in all shader code
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,8,// TODO use InitializeParticleLitSurfaceData() in forward pass for ParticleLitForwardPass.hlsl ? Similar refactoring for ParticleSimpleLitForwardPass.hlsl
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,9,// TODO Make sure GPU buffers are uploaded without copying into Unity CommandBuffer memory
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,10,"// TODO BakedLit.shader has a Universal2D pass, but Unlit.shader doesn't have?"
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,59,"public static int _MainLightPosition = Shader.PropertyToID(""_MainLightPosition"");   // ForwardLights.LightConstantBuffer also refers to the same ShaderPropertyID - TODO: move this definition to a common location shared b"
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,60,"public static int _MainLightColor = Shader.PropertyToID(""_MainLightColor"");         // ForwardLights.LightConstantBuffer also refers to the same ShaderPropertyID - TODO: move this definition to a common location shared b"
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,61,"public static int _MainLightLayerMask = Shader.PropertyToID(""_MainLightLayerMask""); // ForwardLights.LightConstantBuffer also refers to the same ShaderPropertyID - TODO: move this definition to a common location shared b"
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,663,// Workaround for bug.
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,923,// TODO bundle extra directional lights rendering by batches of 8.
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,1137,// TODO: This should be fixed.
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,1255,// TODO reorder for pre&post-transform cache optimisation.
Packages/com.unity.render-pipelines.universal/Runtime/DeferredLights.cs,1312,// TODO reorder for pre&post-transform cache optimisation.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipeline.cs,459,// TODO: Would be better to add Profiling name hooks into RenderPipelineManager.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipeline.cs,774,// TODO: move skybox code from C++ to URP in order to remove the call to context.Submit() inside DrawSkyboxPass
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipeline.cs,810,// TODO: Move this to one call for all cameras
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipeline.cs,837,// TODO: Move into the renderer. Problem: It modifies the AdditionalCameraData which is copied into RenderingData which causes value divergence for value types.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipeline.cs,2486,// TODO
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,166,// TODO RENDERGRAPH: Once all cameras will run in a single RenderGraph we should remove all RTHandles and use per frame RG textures.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,437,// TODO: We should implement filtering fully in SRP to remove builtin dependencies
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,760,// TODO RENDERGRAPH: move the setup code into the shadow passes
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,1297,"// TODO RENDERGRAPH: bind _CameraOpaqueTexture, _CameraDepthTexture in transparent pass?"
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,1540,// TODO RENDERGRAPH: we need to discuss and decide if RenderPassEvent.AfterRendering injected passes should only be called after the last camera in the stack
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRendererRenderGraph.cs,1985,// TODO RENDERGRAPH: deferred optimization
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,52,"public static readonly ProfilingSampler drawGizmos = new ProfilingSampler(""DrawGizmos""); //Todo: update to nameof(method reference) once RG version name is cleaned up"
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,53,"public static readonly ProfilingSampler drawWireOverlay = new ProfilingSampler(""DrawWireOverlay""); //Todo: update to nameof(method reference) once RG version name is cleaned up"
