path,lines,bytes,game_objects,components,mono_behaviours,transforms,sprite_renderers,colliders_2d,rigidbodies_2d,guid_refs,unique_guid_refs,complexity_score
Assets/Resources/Prefabs/Effect/suckIn.prefab,14733,357054,15,15,1,13,3,0,0,5,4,14768
Assets/Resources/Prefabs/Effect/landed.prefab,14731,357097,15,15,1,13,3,0,0,4,2,14763
Assets/Resources/Prefabs/Effect/brustOut.prefab,9838,238564,11,11,1,9,2,0,0,4,4,9870
Assets/Resources/Prefabs/Effect/jump.prefab,9836,238555,11,11,1,9,2,0,0,3,2,9865
Assets/Prefabs/RunTime/Entities/Ae_Mat_Door.prefab,5273,128912,18,18,1,8,2,1,1,7,7,5314
Assets/Resources/Prefabs/Effect/followDust.prefab,4941,119929,7,7,1,5,1,0,0,2,2,4967
Assets/Resources/Prefabs/Effect/landedOnWall.prefab,4941,119940,7,7,1,5,1,0,0,2,2,4967
Assets/Resources/Prefabs/Effect2/followDust.prefab,4928,119448,6,6,0,5,1,0,0,1,1,4931
Assets/Demos/FunctionDev/AbTile/demo_abtile_palette.prefab,2621,83310,8,8,1,2,0,0,0,243,196,3370
Assets/Prefabs/RunTime/System/[GameCore].prefab,1624,61873,6,26,3,11,0,0,0,295,18,2569
Assets/Prefabs/RunTime/System/VgIngameConsoleManager.prefab,635,25360,3,5,1,3,0,0,0,138,2,1069
Assets/Resources/Prefabs/Player/PlatformerPlayer.prefab,640,18989,15,17,4,4,1,1,1,24,11,792
Assets/Prefabs/RunTime/System/Splash/VgSplasherManager.prefab,547,16170,29,30,8,13,0,0,0,10,8,737
Assets/Prefabs/RunTime/Entities/Ae_Mat_MineLight.prefab,669,18941,22,22,1,7,7,0,0,15,6,734
Assets/Prefabs/RunTime/System/Camera/CameraBorder.prefab,407,11904,21,21,6,10,0,0,0,6,3,545
Assets/Prefabs/RunTime/Entities/Ae_Mat_Bee.prefab,373,11201,12,12,4,2,2,1,1,7,7,474
Assets/Prefabs/RunTime/Entities/Ae_Mat_Collection.prefab,358,10603,12,12,2,3,1,1,1,5,5,413
Assets/Prefabs/RunTime/Entities/Ae_Mat_Vine.prefab,336,9110,12,12,1,4,1,2,1,4,4,368
Assets/Prefabs/RunTime/Entities/Ae_Mat_Checkpoint.prefab,309,9344,9,9,2,2,2,1,0,6,6,367
Assets/Prefabs/RunTime/Entities/Ae_Mat_Ore.prefab,325,8904,11,11,1,3,2,1,1,6,5,363
Assets/Prefabs/RunTime/Entities/Ae_Mat_ThornPlatform.prefab,296,7977,10,10,1,2,1,2,1,4,4,328
Assets/Resources/Prefabs/Player/SnakePlayer.prefab,267,7195,10,10,2,2,1,1,1,6,6,325
Assets/Demos/FunctionDev/OriSPlayerControl Demo/tempArt/tempPlate.prefab,265,7074,8,8,1,2,0,0,0,7,7,306
Assets/Prefabs/RunTime/System/Camera/VgCameraManager.prefab,222,6296,9,9,3,2,0,0,0,6,6,300
Assets/Prefabs/RunTime/GamePlay/Bee.prefab,231,6498,8,8,2,1,2,1,1,5,5,286
Assets/Resources/Prefabs/Wave/Wave.prefab,248,6140,6,6,1,1,1,1,1,3,3,277
Assets/Prefabs/RunTime/Entities/Ae_SavePoint.prefab,226,6420,8,8,1,2,2,1,0,6,6,264
Assets/Prefabs/RunTime/Entities/Ae_SnakeDoor.prefab,219,6007,8,8,1,2,1,1,0,4,4,251
Assets/Prefabs/RunTime/Entities/Ae_SnakeHoney.prefab,218,5935,8,8,1,2,1,1,0,4,4,250
Assets/Prefabs/RunTime/Entities/Ae_Mat_light_s.prefab,209,5911,7,7,1,2,2,0,0,5,5,244
Assets/Resources/Prefabs/SnakeTails/LineTail 2.prefab,214,5791,8,8,1,2,2,1,1,3,3,243
Assets/Resources/Prefabs/SnakeTails/LineTail 6.prefab,214,5791,8,8,1,2,2,1,1,3,3,243
